From;Entry;
ENSG00000134030;O43310;
ENSG00000134030;K7EK08;
ENSG00000134030;K7EPK6;
ENSG00000134030;K7EQS5;
ENSG00000134030;K7EQS9;
ENSG00000147408;Q8TDX6;
ENSG00000147408;A0A8Q3WKU9;
ENSG00000147408;E5RGB2;
ENSG00000147408;E5RGK2;
ENSG00000147408;E5RJB6;
ENSG00000147408;E5RK93;
ENSG00000161649;Q6UXG3;
ENSG00000161649;A0A8V8TQK5;
ENSG00000161649;K7EL06;
ENSG00000197261;Q5SZD1;
ENSG00000197261;H0YDR2;
ENSG00000243927;P82932;
ENSG00000102804;Q15714;
ENSG00000102804;A0A087X0H8;
ENSG00000102804;C9IZ15;
ENSG00000102804;C9JYW3;
ENSG00000102804;H7C4J9;
ENSG00000174950;Q6UWJ8;
ENSG00000151552;P09417;
ENSG00000151552;B7Z415;
ENSG00000151552;D6RGG7;
ENSG00000151552;D6RHJ7;
ENSG00000151552;H0Y8F7;
ENSG00000177710;Q96KT7;
ENSG00000085741;O96014;
ENSG00000092964;Q16555;
ENSG00000092964;A0A1C7CYX9;
ENSG00000092964;E5RFU4;
ENSG00000081721;Q9UNI6;
ENSG00000081721;V9GY92;
ENSG00000081721;V9GYV5;
ENSG00000092010;Q06323;
ENSG00000092010;H0YKK6;
ENSG00000092010;H0YLU2;
ENSG00000125149;Q9BSU1;
ENSG00000125149;H3BRA5;
ENSG00000125149;H3BS58;
ENSG00000125149;H3BSG0;
ENSG00000125149;J3QRI8;
ENSG00000141452;Q96DM3;
ENSG00000141452;A0A087WZD4;
ENSG00000141452;K7EIS6;
ENSG00000141452;K7EL80;
ENSG00000141452;K7ENL9;
ENSG00000141452;K7EQ65;
ENSG00000141452;K7EQJ3;
ENSG00000186792;O43820;
ENSG00000186792;C9JB51;
ENSG00000139946;Q9HAT8;
ENSG00000139946;A0A994J4T1;
ENSG00000139946;H0YK56;
ENSG00000139946;H0YNF4;
ENSG00000134198;O60636;
ENSG00000134198;B1AKP1;
ENSG00000134198;B1AKP2;
ENSG00000131408;P55055;
ENSG00000131408;M0QYE6;
ENSG00000131408;M0QZF5;
ENSG00000131408;M0R0K3;
ENSG00000131408;M0R1V8;
ENSG00000131408;M0R229;
ENSG00000131408;M0R2F9;
ENSG00000131408;M0R3A7;
ENSG00000204498;Q9UBC1;
ENSG00000204498;A0A0A0MRT5;
ENSG00000204498;F2Z390;
ENSG00000204498;Q5STV6;
ENSG00000136147;Q9UIL8;
ENSG00000136147;B4DTX8;
ENSG00000136147;C9JQV2;
ENSG00000136147;C9JWH0;
ENSG00000136147;H0Y4X7;
ENSG00000136147;J3KR57;
ENSG00000136147;X6RH80;
ENSG00000165030;Q16649;
ENSG00000108561;Q07021;
ENSG00000108561;A0A0G2JLC0;
ENSG00000108561;I3L3B0;
ENSG00000108561;I3L3Q7;
ENSG00000197976;Q02040;
ENSG00000197976;X6RAJ1;
ENSG00000078967;Q9Y2X8;
ENSG00000078967;C9J9H9;
ENSG00000078967;F2Z3J6;
ENSG00000078967;F8WE07;
ENSG00000078967;F8WEH7;
ENSG00000078967;H0YGA2;
ENSG00000090674;Q9GZU1;
ENSG00000090674;M0QXD0;
ENSG00000090674;M0R1X7;
ENSG00000204370;O14521;
ENSG00000204370;A0A1W2PNY0;
ENSG00000204370;E9PK73;
ENSG00000204370;G3V173;
ENSG00000204370;H0YD41;
ENSG00000204370;H0YD96;
ENSG00000137441;Q9BYJ0;
ENSG00000152430;Q8N9W6;
ENSG00000152430;A0A8Q3WL03;
ENSG00000152430;F2Z2G3;
ENSG00000152430;F8WD91;
ENSG00000108828;Q99536;
ENSG00000108828;K7EJM4;
ENSG00000108828;K7EM19;
ENSG00000108828;K7ENX2;
ENSG00000108828;K7ER81;
ENSG00000108828;K7ERT7;
ENSG00000108828;K7ESA3;
ENSG00000136367;Q9C0A1;
ENSG00000136367;C9JSX6;
ENSG00000136367;G3V3N5;
ENSG00000149451;Q9BZ11;
ENSG00000149451;A2A2L3;
ENSG00000144524;Q9H9Q2;
ENSG00000144524;A0A087X1P5;
ENSG00000144524;J3KQ34;
ENSG00000144524;J3KQ41;
ENSG00000144524;J3KQV6;
ENSG00000144524;J3QT43;
ENSG00000144524;J3QT50;
ENSG00000144524;J3QT65;
ENSG00000144524;J3QT66;
ENSG00000144524;J3QT67;
ENSG00000144524;J3QT73;
ENSG00000144524;J3QT95;
ENSG00000172578;Q8WZ60;
ENSG00000172578;A0A0C4DGF2;
ENSG00000139289;Q8WV24;
ENSG00000139289;R4GND3;
ENSG00000180785;Q8TCB6;
ENSG00000180785;E9PKL6;
ENSG00000127507;Q9UHX3;
ENSG00000127507;B4DWB8;
ENSG00000127507;M0QY55;
ENSG00000127507;M0R0K5;
ENSG00000100351;O75791;
ENSG00000100351;B1AH86;
ENSG00000124795;P35659;
ENSG00000124795;A0A494C028;
ENSG00000124795;A0A494C198;
ENSG00000124795;B4DFG0;
ENSG00000124795;D6R9L5;
ENSG00000124795;D6RDA2;
ENSG00000124795;H0Y8X0;
ENSG00000124795;H0Y993;
ENSG00000137055;Q9Y263;
ENSG00000137055;E5RIM3;
ENSG00000137055;H0YAU9;
ENSG00000137055;H0YBW4;
ENSG00000137055;H0YC16;
ENSG00000183723;Q8IZR5;
ENSG00000183723;J3QRP2;
ENSG00000105323;Q9BUJ2;
ENSG00000105323;A0A087X1I2;
ENSG00000105323;A0A0A0MRA5;
ENSG00000105323;B7Z4B8;
ENSG00000105323;M0QYG9;
ENSG00000105323;M0QYI8;
ENSG00000105323;M0QYM5;
ENSG00000105323;M0QYZ0;
ENSG00000105323;M0QZV6;
ENSG00000105323;M0R0K8;
ENSG00000105323;M0R203;
ENSG00000105323;M0R247;
ENSG00000105323;M0R3F1;
ENSG00000123395;Q9BSB4;
ENSG00000123395;F8VQD9;
ENSG00000123395;F8VVA0;
ENSG00000123395;H3BMZ4;
ENSG00000136451;Q14119;
ENSG00000136451;J3QLN5;
ENSG00000136451;J3QSH4;
ENSG00000136451;J9JIC7;
ENSG00000188659;Q658L1;
ENSG00000188659;A0A804HKW2;
ENSG00000188659;H3BMC1;
ENSG00000188659;H3BP55;
ENSG00000188659;H3BQV6;
ENSG00000188659;H3BVD4;
ENSG00000122970;Q8WYA0;
ENSG00000122970;F8W1J4;
ENSG00000122970;H0YHE2;
ENSG00000122970;H0YIR4;
ENSG00000170967;Q8WTU0;
ENSG00000069188;Q58EX2;
ENSG00000069188;H7C2P2;
ENSG00000110628;Q96BI1;
ENSG00000110628;E9PMN7;
ENSG00000110628;E9PRM7;
ENSG00000106554;Q9NX63;
ENSG00000106554;A0A286YEX5;
ENSG00000106554;C9JRZ6;
ENSG00000106554;F8WAR4;
ENSG00000138942;Q96GF1;
ENSG00000183833;Q7Z4T9;
ENSG00000183833;F8WC74;
ENSG00000183833;F8WEV1;
ENSG00000183833;F8WF10;
ENSG00000183833;H7C5C8;
ENSG00000196470;Q8IUQ4;
ENSG00000196470;H3BU09;
ENSG00000154153;Q9H6L5;
ENSG00000154153;A0A804HHX5;
ENSG00000154153;A0A804HIV2;
ENSG00000154153;A0A804HIW5;
ENSG00000154153;A0A804HJ37;
ENSG00000154153;A0A804HJI9;
ENSG00000154153;A0A804HJZ6;
ENSG00000154153;A0A804HKT1;
ENSG00000154153;A0A804HKW5;
ENSG00000154153;H0Y9U4;
ENSG00000092068;Q9UHI5;
ENSG00000092068;E9PIC3;
ENSG00000092068;E9PLV9;
ENSG00000092068;E9PQT4;
ENSG00000092068;E9PS92;
ENSG00000092068;H0Y2X7;
ENSG00000143379;Q15047;
ENSG00000143379;A0A8I5KT93;
ENSG00000143379;B0QZE6;
ENSG00000143379;E9PAP1;
ENSG00000143379;E9PQM8;
ENSG00000143379;E9PRF4;
ENSG00000143379;E9PS59;
ENSG00000143379;X6R732;
ENSG00000143379;X6RHV1;
ENSG00000113621;Q96J42;
ENSG00000113621;D6R962;
ENSG00000113621;D6RAV9;
ENSG00000113621;D6RB48;
ENSG00000113621;D6RBD9;
ENSG00000113621;H0Y928;
ENSG00000113621;H0Y997;
ENSG00000171843;P42568;
ENSG00000171843;A0A0D9SF09;
ENSG00000171843;A0A6Q8PGU4;
ENSG00000171843;A0A6Q8PH64;
ENSG00000171843;B1APT5;
ENSG00000172731;Q8TCA0;
ENSG00000172731;A0A0A0MS58;
ENSG00000172731;X6RK58;
ENSG00000204463;P46379;
ENSG00000204463;A0A1B0GX79;
ENSG00000204463;A0A7I2V3H1;
ENSG00000204463;A0A7I2V508;
ENSG00000204463;A0A7P0MQS5;
ENSG00000204463;F6S6P2;
ENSG00000204463;F6TC96;
ENSG00000204463;F6U1F2;
ENSG00000204463;F6U341;
ENSG00000204463;F6UR09;
ENSG00000204463;F6VEM6;
ENSG00000204463;F6WML8;
ENSG00000204463;F6X9W3;
ENSG00000204463;F6XTU0;
ENSG00000204463;H0Y4L1;
ENSG00000204463;H0Y759;
ENSG00000204463;H0Y7K4;
ENSG00000204463;X6REW1;
ENSG00000118579;Q9H204;
ENSG00000118579;H0YAA8;
ENSG00000116031;Q9UJ71;
ENSG00000162444;Q96R05;
ENSG00000162444;B1AQ60;
ENSG00000156795;Q96HA8;
ENSG00000156795;A0A3B3IS49;
ENSG00000156795;A0A3B3ITD7;
ENSG00000156795;A0A3B3ITI2;
ENSG00000156795;E5RHC2;
ENSG00000156795;E5RIY9;
ENSG00000156795;H0YBV4;
ENSG00000121742;O95452;
ENSG00000121742;A0A2R8Y4J9;
ENSG00000121742;A0A2R8Y5T6;
ENSG00000121742;A0A2R8Y6N2;
ENSG00000121742;A0A2R8YCY0;
ENSG00000175606;Q9BUB7;
ENSG00000175606;D4PHA6;
ENSG00000116337;Q01433;
ENSG00000116337;A0A590UJD1;
ENSG00000116337;A0A590UJX5;
ENSG00000116337;A0A590UJY6;
ENSG00000116337;A0A590UK85;
ENSG00000116337;A0A5F9UK94;
ENSG00000116337;A0A7P0T999;
ENSG00000116337;A0A7P0TB79;
ENSG00000116337;A0A7P0Z4H6;
ENSG00000116337;A0A804CCZ3;
ENSG00000116337;A0A804H2H4;
ENSG00000116337;E9PIJ1;
ENSG00000116337;E9PJF6;
ENSG00000116337;H0Y360;
ENSG00000116337;H0YE32;
ENSG00000116337;H0YF16;
ENSG00000123064;Q8TDD1;
ENSG00000123064;F8VRX4;
ENSG00000123064;H0YHH7;
ENSG00000123064;H0YHZ9;
ENSG00000213699;Q8N357;
ENSG00000213699;F8WB19;
ENSG00000213699;F8WCT7;
ENSG00000130684;Q9Y3M9;
ENSG00000101457;Q9H147;
ENSG00000101457;F2Z2A4;
ENSG00000101457;H0Y501;
ENSG00000101457;H7C1J2;
ENSG00000101457;H7C1M5;
ENSG00000103460;O15405;
ENSG00000103460;H3BTZ9;
ENSG00000103460;J3QQQ6;
ENSG00000170786;Q8N3Y7;
ENSG00000170786;G3V145;
ENSG00000167110;Q08379;
ENSG00000167110;A0A087WYC0;
ENSG00000167110;A0A1W2PQY5;
ENSG00000167110;A0A6Q8KRG2;
ENSG00000167110;A0A8I5KNZ1;
ENSG00000167110;A0A8I5KQL3;
ENSG00000167110;A0A8I5KRU0;
ENSG00000167110;A0A8I5KT73;
ENSG00000167110;A0A8I5KUW5;
ENSG00000167110;A0A8I5KYB0;
ENSG00000167110;A0A8I5KYU9;
ENSG00000167110;A0A8I5KZ34;
ENSG00000167110;A0A8I5KZ68;
ENSG00000167110;A0A8I5QJQ7;
ENSG00000167110;A0A8I5QL14;
ENSG00000167110;A0A8J9BZL8;
ENSG00000167110;B7ZC06;
ENSG00000167110;H0Y7B8;
ENSG00000167110;R4GND7;
ENSG00000009790;Q9Y228;
ENSG00000009790;B1AJU2;
ENSG00000009790;C9J0C0;
ENSG00000009790;C9JBA0;
ENSG00000009790;C9JXB3;
ENSG00000009790;E2QRE5;
ENSG00000009790;H0YF09;
ENSG00000129159;P48547;
ENSG00000129159;A0A1W2PNN0;
ENSG00000129159;A0A1W2PNZ3;
ENSG00000129159;A0A1W2PP60;
ENSG00000129159;A0A1W2PPN9;
ENSG00000129159;A0A1W2PPT0;
ENSG00000129159;A0A1W2PPX0;
ENSG00000129159;A0A6Q8PHL6;
ENSG00000242247;Q9NP61;
ENSG00000242247;B0QYV8;
ENSG00000242247;B0QYV9;
ENSG00000242247;H0Y6A0;
ENSG00000143320;P29373;
ENSG00000143320;Q5SYZ4;
ENSG00000104765;O60238;
ENSG00000104765;E5RFE9;
ENSG00000104765;H0YBC7;
ENSG00000215454;P60372;
ENSG00000171916;Q6DKI2;
ENSG00000171916;J3KRF0;
ENSG00000171916;J3KSV0;
ENSG00000171916;J3KSY2;
ENSG00000171916;J3KT17;
ENSG00000171916;J3QKS2;
ENSG00000171916;J3QR96;
ENSG00000171916;J3QSH0;
ENSG00000140948;Q8WYQ9;
ENSG00000140948;A0A590UJW6;
ENSG00000140948;A0A5F9XIK1;
ENSG00000140948;H3BS18;
ENSG00000181885;O95471;
ENSG00000181885;F5H496;
ENSG00000181885;I3L3L6;
ENSG00000181885;I3L3X1;
ENSG00000181885;K7EL87;
ENSG00000181885;K7EP40;
ENSG00000102384;Q92674;
ENSG00000102384;A0A804HK71;
ENSG00000102384;A0A8C8KX99;
ENSG00000102384;Q5JX01;
ENSG00000102384;Q5JX02;
ENSG00000175595;Q92889;
ENSG00000175595;A0A804HI16;
ENSG00000175595;A0A804HIY2;
ENSG00000175595;A0A804HKF9;
ENSG00000175595;I3L4K0;
ENSG00000175595;I3NI48;
ENSG00000197457;Q9NZ72;
ENSG00000197457;A0A0J9YW36;
ENSG00000197457;A0A0J9YXY4;
ENSG00000169330;Q9UPX6;
ENSG00000169330;H0YNN7;
ENSG00000001461;Q6P499;
ENSG00000001461;A6NN97;
ENSG00000001461;H0Y4I9;
ENSG00000181019;P15559;
ENSG00000181019;B4DLR8;
ENSG00000181019;H3BNV2;
ENSG00000181019;H3BRK3;
ENSG00000186660;Q96JP5;
ENSG00000196228;Q6IMI6;
ENSG00000112799;O95711;
ENSG00000121413;Q8TBC5;
ENSG00000121413;A0A0C4DG78;
ENSG00000121413;M0QXJ0;
ENSG00000121413;M0QZ65;
ENSG00000121413;M0R111;
ENSG00000121413;M0R1U9;
ENSG00000121413;M0R364;
ENSG00000121413;M0R3C6;
ENSG00000137760;Q96BT7;
ENSG00000137760;C9JQN2;
ENSG00000072958;Q9BXS5;
ENSG00000072958;A0A087WZX7;
ENSG00000072958;E7ENJ6;
ENSG00000072958;K7EJL1;
ENSG00000072958;K7ENA7;
ENSG00000072958;K7EPJ8;
ENSG00000072958;K7EQ90;
ENSG00000072958;K7EQX3;
ENSG00000072958;K7ER75;
ENSG00000196388;Q0VD86;
ENSG00000175197;P35638;
ENSG00000175197;F8W133;
ENSG00000131871;Q9BQE4;
ENSG00000131871;A0A182DWI4;
ENSG00000131871;E9PN30;
ENSG00000175792;Q9Y265;
ENSG00000175792;E7ETR0;
ENSG00000175792;H7C4G5;
ENSG00000175792;H7C4I3;
ENSG00000175792;J3QLR1;
ENSG00000198435;Q7Z6K4;
ENSG00000100902;P60900;
ENSG00000100902;G3V295;
ENSG00000100902;G3V2S7;
ENSG00000100902;G3V3I1;
ENSG00000100902;G3V3U4;
ENSG00000100902;G3V4S5;
ENSG00000100902;G3V5Z7;
ENSG00000100902;H0YJC4;
ENSG00000120533;Q9NPA8;
ENSG00000120533;E5RHT9;
ENSG00000120533;E5RHX8;
ENSG00000120533;E5RI00;
ENSG00000120533;E5RJ84;
ENSG00000120533;J3KNT2;
ENSG00000023697;Q9Y315;
ENSG00000023697;E9PJ44;
ENSG00000023697;E9PJB9;
ENSG00000023697;E9PMH9;
ENSG00000023697;E9PML7;
ENSG00000023697;E9PPK3;
ENSG00000023697;E9PPM8;
ENSG00000023697;G3V158;
ENSG00000025156;Q03933;
ENSG00000025156;V9GZ44;
ENSG00000136492;Q9BX63;
ENSG00000136492;A0A804HHV8;
ENSG00000136492;A0A804HIH9;
ENSG00000136492;A0A804HIR6;
ENSG00000136492;A0A804HJU1;
ENSG00000136492;A0A804HJV4;
ENSG00000136492;A0A804HJY1;
ENSG00000136492;A0A804HK62;
ENSG00000136492;A0A804HKK6;
ENSG00000136492;A0A804HKS0;
ENSG00000136492;A0A804HL36;
ENSG00000136492;A0A804HLF1;
ENSG00000136492;J3KS24;
ENSG00000136492;J3QKX0;
ENSG00000136492;J3QQP5;
ENSG00000114850;Q9UNL2;
ENSG00000114850;C9J365;
ENSG00000114850;C9JA28;
ENSG00000102178;P11441;
ENSG00000102178;F8WB70;
ENSG00000102178;F8WCT8;
ENSG00000102178;Q5HY81;
ENSG00000148841;Q8IWB1;
